Word				Count
++++++++++++++++++++++++++++++
.				4
a				632
abide				1
able				1
about				93
about.				1
above				3
absence				1
absurd				2
acceptance				1
accident				2
accidentally				1
account				1
accounting				1
accounts				1
accusation				1
accustomed				1
ache				1
across				5
act				1
actually				1
ada				1
added				23
adding				1
addressed				2
addressing				1
adjourn				1
adoption				1
advance				3
advantage				3
adventures				6
adventures.				1
advice				2
advisable				2
advise				1
affair				1
affectionately				1
afford				1
afore				1
afraid				12
after				43
afterwards				1
afterwards.				1
again				64
again.				19
against				9
age				4
ago				2
agony				1
agree				2
ah				5
ahem				1
air				10
air.				5
airs				1
alarm				1
alarm.				1
alarmed				1
alas				4
alice				344
alice.				54
alive				3
all				175
all.				7
allow				3
almost				6
alone				3
alone.				1
along				6
aloud				2
aloud.				3
already				2
also				2
altered.				1
alternately				1
altogether				4
altogether.				1
always				13
am				16
ambition				1
among				12
an				57
ancient				1
and				872
anger				2
angrily				6
angrily.				3
angry				4
angry.				1
animal				2
animals				4
ann				4
annoy				1
annoyed				1
another				22
answer				8
answer.				1
answered				4
answers.				1
antipathies				1
anxious				2
anxious.				1
anxiously				13
anxiously.				1
any				38
any.				1
anything				19
anything.				1
anywhere				1
appealed				1
appear				2
appearance				1
appeared				7
appeared.				1
appearing				1
applause				1
apple				1
apples				2
arch				1
archbishop				2
arches				3
arches.				1
are				54
argue.				1
argued				1
argument				4
arguments				1
arithmetic				1
arm				15
arms				6
around				3
arranged				1
arrived				1
arrow.				1
arrum.				1
as				263
ashamed				2
ask				9
ask.				2
askance				1
asked				9
asked.				8
asking				5
asleep				7
asleep.				1
assembled				2
at				212
ate				1
atheling				1
atom				2
attempt				1
attempted				1
attempts				1
attended				1
attending				3
attends				1
audibly.				1
australia				1
authority				2
avoid				1
away				22
away.				3
awfully				1
axes				1
axis				1
baby				14
back				37
back.				2
backs				1
bad				2
bag				1
baked				1
balanced				1
balls				1
bank				3
banks				1
banquet				1
bark				2
barking				1
barley				1
barrowful				2
bat				3
bathing				1
bats				4
bawled				1
be				147
be.				1
beak				1
bear				2
beast				1
beasts				2
beat				4
beating				1
beating.				1
beau				4
beauti				1
beautiful				13
beautifully				2
beautify				1
became				2
because				15
become				5
becoming.				1
bed				1
beds				2
bee				1
been				37
been.				1
before				35
before.				3
beg				8
began				55
began.				3
begged				1
begin				10
begin.				3
beginning				14
begins				4
begun				6
begun.				1
behead				1
beheaded				3
beheading				1
behind				13
being				19
believe				8
believe.				1
believed				1
bells				1
belong				1
belongs				2
beloved				1
below				3
belt				1
bend				2
bent				1
besides				4
best				11
best.				1
better				13
better.				1
between				6
bill				17
bird				2
birds				10
birthday				1
bit				13
bit.				3
bite				1
bite.				1
bitter				1
blacking				1
blades				1
blame				1
blasts				2
bleeds				1
blew				2
blow				2
blown				1
blows				1
body				2
boldly				1
bone				1
bones				1
book				10
book.				1
books				2
boon				1
boots				4
bore				1
both				14
bother				1
bottle				9
bottle.				1
bottom				4
bough				1
bound				1
bowed				4
bowing				1
box				10
boxed				1
boy				3
brain				1
branch				1
branches				2
brandy				1
brass				1
brave				1
bread				7
break				1
break.				1
breath				3
breath.				1
breathe				2
breathe.				1
breeze				1
bright				8
brightened				2
bring				3
bringing				3
bristling				1
broke				2
broken				5
broken.				1
brother				1
brought				3
brown				2
brush				1
brushing				1
burn				2
burning				1
burnt				1
burst				1
bursting				1
busily				4
business				7
busy				2
but				170
butter				8
butter.				1
buttercup				1
buttered				1
butterfly				1
buttons				1
by				58
bye				2
c				1
cackled				1
cake				2
cake.				1
cakes				3
call				9
called				15
calling				1
calmly				1
came				40
camomile				1
can				63
canary				1
candle				2
candle.				1
cannot				1
canterbury				1
canvas				1
capering				1
capital				4
cardboard.				1
cards				3
care				4
carefully				3
cares				2
carried				4
carrier				1
carroll				1
carry				1
carrying				2
cart				1
cartwheels				1
case				5
cat				30
cat.				7
catch				4
catching				2
caterpillar				16
caterpillar.				12
cats				12
cats.				1
cattle				1
caucus				3
caught				3
cauldron				2
cause				3
caused				2
cautiously				3
ceiling				1
centre				1
certain				3
certainly				14
chain				1
chains				1
chair				1
chance				4
chanced				1
change				14
changed				8
changes				2
changing				2
chapter				12
character				1
charges				1
chatte				1
cheap				1
cheated				1
checked				3
cheeks				1
cheered				2
cheered.				1
cheerfully				1
cherry				1
cheshire				7
chief				1
child				11
childhood				1
children				9
children.				1
chimney				6
chimneys				1
chin				5
chin.				2
choice				2
choke				1
choked				3
choking				1
choosing				1
chop				1
chorus				4
chorus.				2
chose				2
christmas.				1
chrysalis				1
chuckled.				1
circle				1
circumstances.				1
civil				3
clamour				1
clapping				1
clasped				1
classics				1
claws				2
clean				1
clear				2
cleared				1
clearer				1
clearly				1
clever				2
climb				1
clinging				1
clock				4
clock.				1
close				13
closed				2
closely				1
closer				1
clubs				1
coast				1
coaxing				1
coaxing.				1
coils.				1
cold				1
collar				1
collected				2
come				46
comes				2
comfits				2
comfort				1
comfortable				1
comfortably				1
coming				7
coming.				2
common				1
commotion				1
company				1
complained				1
complaining				1
completely.				1
concert				2
concluded				2
conclusion				2
condemn				1
conduct				1
confused				4
confusing				2
confusing.				1
confusion				5
conger				1
conqueror				1
conqueror.				1
conquest.				1
consented				1
consider				4
considered				3
considering				3
constant				2
consultation				1
contempt.				1
contemptuous				1
contemptuously.				2
content				1
continued				9
contradicted				1
conversation				4
conversation.				5
conversations				2
cook				10
cook.				3
cool				2
corner				4
corners				1
cost				1
could				73
could.				4
couldn				9
counting				1
country				1
couple				1
couples				1
courage				2
courage.				1
course				25
course.				1
court				14
court.				4
courtiers				2
coward				1
crab				3
crash				3
crashed				1
crawled				1
crawling				1
crazy				1
creature				4
creatures				9
creatures.				1
creep				1
crept				1
cried				18
cried.				2
cries				1
crimson				2
crocodile				1
croquet				7
croquet.				2
croqueted				1
croqueting				1
cross				3
crossed				3
crossly				1
crouched				1
crowd				4
crowded				5
crown				2
crown.				1
crumbs				3
crumbs.				1
crust				1
cry				3
crying				2
cucumber				2
cunning				1
cup				2
cupboards				2
cur				1
curiosity				2
curiosity.				3
curious				18
curious.				1
curiouser				2
curled				2
curls				1
curly				1
currants.				1
curtain				1
curtsey				1
curtseying				1
curving				1
cushion				2
custard				1
custody				2
cut				5
cutting				1
d				29
dainties				1
daisies				1
daisy				1
dance				8
dance.				5
dancing				1
dancing.				1
dare				5
daresay				1
dark				3
darkness				1
dates				1
daughter				1
day				24
day.				5
days				2
days.				2
dead				4
deal				12
dear				29
dears				3
death.				1
decided				3
decidedly				4
declare				2
declared				1
deep				7
deepest				1
deeply				3
deeply.				1
delay				1
delight				3
delighted				2
delightful				2
denial				1
denied				2
denies				1
deny				2
denying				1
depends				1
derision.				1
deserved				1
desk				1
desks				1
despair				1
desperate				1
desperately				1
diamonds				1
did				62
did.				1
didn				14
die.				1
died				1
different				8
different.				1
difficult				2
difficulties				1
difficulty				4
dig				1
digging				4
diligently				1
dinah				14
dinn				2
dinner				2
dipped				2
directed				2
direction				5
directions				3
directly				1
directly.				1
disagree				1
disappeared				1
disappeared.				1
disappointment				1
disgust				1
dish				4
dishes				1
dishes.				1
dismay				1
disobey				1
dispute				2
distance				6
distance.				2
distant				2
distraction				1
dive				1
do				76
do.				5
dodged				1
dodo				12
dodo.				1
does				7
does.				2
doesn				16
dog				3
dogs				2
dogs.				1
doing				5
don				61
done				13
done.				2
door				28
door.				2
doors				2
doorway				1
dormouse				37
dormouse.				3
doth				3
double				1
doubled				1
doubling				1
doubt				4
doubtful				2
doubtfully				2
down				100
down.				2
downward				1
downwards				1
doze				1
dozing				1
draggled				1
draw				7
drawing				1
drawling				3
dreadful				2
dreadfully				6
dream				6
dream.				1
dreamed				1
dreaming				1
dreamy				1
dressed				1
drew				5
dried				1
driest				1
drink				7
drinking.				1
dripping				1
drive				2
drop				1
dropped				5
dropping				1
drowned				1
drunk				2
dry				8
duchess				39
duchess.				3
duck				3
duck.				1
dull				3
dunce				1
e				6
each				8
eager				3
eagerly				7
eagerly.				1
eaglet				2
eaglet.				1
ear				3
ear.				3
earls				2
earnestly				1
earnestly.				1
ears				5
earth				2
earth.				2
easily				3
easy				2
eat				18
eaten				1
eating				1
eats				1
edgar				1
edge				3
editions				2
educations				1
edwin				2
eel				2
eels				1
effect				3
egg				1
eggs				5
eh				1
either				10
elbow				2
elbow.				1
elbows				1
elegant				1
eleventh				1
else				10
else.				2
elsie				1
em				3
emphasis				1
empty				1
encourage				1
encouraged				1
encouraging				2
end				17
end.				1
ending				2
energetic				1
engaged				1
engine				1
england				1
english				5
english.				1
engraved				1
enjoy				1
enormous				1
enough				17
enough.				1
entangled				2
entirely				2
entrance				1
escape				4
esq.				1
est				1
even				19
evening				5
ever				21
every				12
everybody				8
everything				14
evidence				7
evidently				1
exact				1
exactly				8
examine				2
examining				1
